path	hits	terms	lines
core/phase/__init__.py	8	neuro,neuron,kuramoto,ricci,curvature,phase,synchronization,regime	18
core/physics/forman_ricci.py	8	neuro,neuron,kappa,κ,ricci,forman,ollivier,curvature	283
core/physics/lyapunov_exponent.py	8	hpc,cryptobiosis,kuramoto,phase,oscillat,lyapunov,synchronization,regime	292
core/risk_monitoring/advanced_risk_manager.py	8	neuro,neuron,prediction error,free energy,active inference,forman,lyapunov,entropy	1502
docs/adr/0002-serotonin-controller-architecture.md	8	neuro,serotonin,neuromod,desensitization,forman,phase,oscillat,regime	262
docs/exocortex/INVARIANTS_INDEX.md	8	dopamine,serotonin,gaba,hpc,cryptobiosis,kuramoto,ricci,lyapunov	64
docs/neuromodulators/serotonin.md	8	neuro,dopamine,serotonin,neuromod,desensitization,forman,oscillat,regime	165
docs/thermodynamics/INDEX.md	8	neuro,neuron,cns,hpc,homeostasis,free energy,forman,phase	426
docs/thermodynamics/METRICS_FORMALIZATION.md	8	cns,reward,homeostasis,free energy,γ,forman,phase,entropy	399
examples/ecs_motivation_integration.py	8	neuro,neuron,free energy,kuramoto,ricci,forman,phase,regime	300
examples/physics_alpha_proof.py	8	gaba,inhibition,kuramoto,forman,phase,lyapunov,synchronization,regime	276
geosync/neuroeconomics/dislocation_detector.py	8	neuro,neuron,gamma,γ,kappa,κ,ricci,curvature	160
physics_contracts/__init__.py	8	neuro,neuron,dopamine,serotonin,gaba,hpc,kuramoto,ricci	41
reports/RELEASE_READINESS_REPORT.md	8	dopamine,kuramoto,ricci,forman,phase,oscillat,entropy,regime	495
reports/benchmarks/neuro_weight_sensitivity.py	8	neuro,neuron,dopamine,serotonin,gaba,inhibition,arousal,forman	293
scripts/README_integrate_kuramoto_ricci.md	8	kuramoto,ricci,forman,curvature,phase,oscillat,synchronization,regime	209
scripts/lint_bibliography.py	8	neuro,neuron,dopamine,serotonin,basal,prediction error,neuromod,free energy	218
scripts/production_readiness_check.py	8	neuro,neuron,gaba,inhibition,kuramoto,ricci,forman,regime	390
src/geosync/core/neuro/dopamine/action_gate.py	8	neuro,neuron,dopamine,serotonin,gaba,neuromod,inhibition,arousal	156
src/geosync/core/neuro/dopamine/dopamine_controller.py	8	neuro,neuron,dopamine,prediction error,reward,gamma,γ,forman	1372
src/geosync/core/neuro/gaba/gaba_inhibition_gate.py	8	neuro,neuron,gaba,prediction error,plasticity,inhibition,reward,forman	276
src/geosync/features/ricci.py	8	neuro,neuron,kappa,κ,ricci,ollivier,curvature,regime	218
src/geosync/regime/ews.py	8	neuro,neuron,kappa,κ,kuramoto,ricci,curvature,regime	218
tacl/physics_native_kernel.py	8	neuro,neuron,cns,hpc,free energy,active inference,forman,entropy	762
tests/core/neuro/dopamine/test_action_gate.py	8	neuro,neuron,dopamine,serotonin,gaba,inhibition,arousal,desensitization	266
tests/core/neuro/serotonin/test_serotonin_properties.py	8	neuro,neuron,serotonin,basal,hpc,receptor,oscillat,regime	188
tests/integration/test_physics_2026_reality_chain.py	8	neuro,neuron,hpc,coherence,binding,regime,roughness,effective depth	582
tests/integration/test_physics_engine_full_pipeline.py	8	neuro,neuron,free energy,kappa,kuramoto,ricci,curvature,phase	201
tests/property/research_extensions/strategies.py	8	neuro,neuron,kappa,kuramoto,ricci,ollivier,curvature,phase	261
tests/test_behavioral_contracts.py	8	neuro,active inference,gamma,ricci,curvature,coherence,lyapunov,regime	279
tests/test_geosync_adapter.py	8	gamma,ricci,forman,curvature,phase,coherence,lyapunov,regime	139
tests/unit/core/test_ricci_validation.py	8	neuro,neuron,kappa,kuramoto,ricci,ollivier,curvature,entropy	279
tests/unit/test_performance_optimizations.py	8	neuro,neuron,kuramoto,ricci,forman,curvature,phase,entropy	363
.claude/audit/false_confidence_exemptions.yaml	7	neuro,hpc,mycel,kuramoto,ricci,coherence,entropy	291
.claude/physics/CRYPTOBIOSIS_THEORY.md	7	neuro,gaba,neuromod,cryptobiosis,phase,oscillat,lyapunov	66
