fold_id,train_start_pos,train_end_pos,test_start_pos,test_end_pos,train_start_ts,train_end_ts,test_start_ts,test_end_ts,train_bars,test_bars,in_2022
25,1400,1652,1652,1715,2008-12-19,2009-12-15,2009-12-16,2010-03-16,252,63,False
26,1421,1673,1673,1736,2009-01-21,2010-01-15,2010-01-18,2010-04-14,252,63,False
27,1442,1694,1694,1757,2009-02-19,2010-02-15,2010-02-16,2010-05-13,252,63,False
28,1463,1715,1715,1778,2009-03-20,2010-03-16,2010-03-17,2010-06-11,252,63,False
29,1484,1736,1736,1799,2009-04-20,2010-04-14,2010-04-15,2010-07-12,252,63,False
30,1505,1757,1757,1820,2009-05-19,2010-05-13,2010-05-14,2010-08-10,252,63,False
31,1526,1778,1778,1841,2009-06-23,2010-06-11,2010-06-14,2010-09-08,252,63,False
32,1547,1799,1799,1862,2009-07-22,2010-07-12,2010-07-13,2010-10-07,252,63,False
33,1568,1820,1820,1883,2009-08-20,2010-08-10,2010-08-11,2010-11-05,252,63,False
34,1589,1841,1841,1904,2009-09-18,2010-09-08,2010-09-09,2010-12-06,252,63,False
35,1610,1862,1862,1925,2009-10-19,2010-10-07,2010-10-08,2011-01-04,252,63,False
36,1631,1883,1883,1946,2009-11-17,2010-11-05,2010-11-08,2011-02-02,252,63,False
37,1652,1904,1904,1967,2009-12-16,2010-12-06,2010-12-07,2011-03-03,252,63,False
38,1673,1925,1925,1988,2010-01-18,2011-01-04,2011-01-05,2011-04-01,252,63,False
39,1694,1946,1946,2009,2010-02-16,2011-02-02,2011-02-03,2011-05-02,252,63,False
40,1715,1967,1967,2030,2010-03-17,2011-03-03,2011-03-04,2011-05-31,252,63,False
41,1736,1988,1988,2051,2010-04-15,2011-04-01,2011-04-04,2011-06-29,252,63,False
42,1757,2009,2009,2072,2010-05-14,2011-05-02,2011-05-03,2011-07-28,252,63,False
43,1778,2030,2030,2093,2010-06-14,2011-05-31,2011-06-01,2011-08-26,252,63,False
44,1799,2051,2051,2114,2010-07-13,2011-06-29,2011-06-30,2011-09-26,252,63,False
45,1820,2072,2072,2135,2010-08-11,2011-07-28,2011-07-29,2011-10-25,252,63,False
46,1841,2093,2093,2156,2010-09-09,2011-08-26,2011-08-29,2011-11-23,252,63,False
47,1862,2114,2114,2177,2010-10-08,2011-09-26,2011-09-27,2011-12-22,252,63,False
48,1883,2135,2135,2198,2010-11-08,2011-10-25,2011-10-26,2012-01-20,252,63,False
49,1904,2156,2156,2219,2010-12-07,2011-11-23,2011-11-24,2012-02-20,252,63,False
50,1925,2177,2177,2240,2011-01-05,2011-12-22,2011-12-23,2012-03-20,252,63,False
51,1946,2198,2198,2261,2011-02-03,2012-01-20,2012-01-23,2012-04-18,252,63,False
52,1967,2219,2219,2282,2011-03-04,2012-02-20,2012-02-21,2012-05-17,252,63,False
53,1988,2240,2240,2303,2011-04-04,2012-03-20,2012-03-21,2012-06-15,252,63,False
54,2009,2261,2261,2324,2011-05-03,2012-04-18,2012-04-19,2012-07-16,252,63,False
55,2030,2282,2282,2345,2011-06-01,2012-05-17,2012-05-18,2012-08-14,252,63,False
56,2051,2303,2303,2366,2011-06-30,2012-06-15,2012-06-18,2012-09-12,252,63,False
57,2072,2324,2324,2387,2011-07-29,2012-07-16,2012-07-17,2012-10-11,252,63,False
58,2093,2345,2345,2408,2011-08-29,2012-08-14,2012-08-15,2012-11-09,252,63,False
59,2114,2366,2366,2429,2011-09-27,2012-09-12,2012-09-13,2012-12-10,252,63,False
60,2135,2387,2387,2450,2011-10-26,2012-10-11,2012-10-12,2013-01-09,252,63,False
61,2156,2408,2408,2471,2011-11-24,2012-11-09,2012-11-12,2013-02-07,252,63,False
