H,rs,fold_id,fold_start,sharpe_oos,max_drawdown,ic,n_trades,gate_on,H_train,rs_train,pnl
0.3,0.1,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.3,0.15,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.3,0.2,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.3,0.25,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.3,0.3,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.3,0.35,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.3,0.4,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.3,0.45,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.3,0.5,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.3,0.55,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.3,0.6,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.35,0.1,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.35,0.15,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.35,0.2,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.35,0.25,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.35,0.3,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.35,0.35,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.35,0.4,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.35,0.45,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.35,0.5,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.35,0.55,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.35,0.6,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.4,0.1,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.4,0.15,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.4,0.2,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.4,0.25,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.4,0.3,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.4,0.35,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.4,0.4,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.4,0.45,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.4,0.5,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.4,0.55,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.4,0.6,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.45,0.1,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.45,0.15,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.45,0.2,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.45,0.25,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.45,0.3,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.45,0.35,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.45,0.4,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
