fold_id,test_start_ts,test_end_ts,in_2022,n_valid_assets,fold_median_sharpe,fold_mean_sharpe,fold_portfolio_sharpe,is_valid
35,2010-10-08,2011-01-04,False,8,0.2269,0.2452,0.434,True
36,2010-11-08,2011-02-02,False,8,0.6874,0.7027,1.7464,True
37,2010-12-07,2011-03-03,False,8,-0.3837,0.2836,0.438,True
38,2011-01-05,2011-04-01,False,8,1.8499,0.9876,2.5255,True
39,2011-02-03,2011-05-02,False,8,0.2311,-0.2263,-0.1074,True
40,2011-03-04,2011-05-31,False,8,0.22,-0.1834,-0.2163,True
41,2011-04-04,2011-06-29,False,8,-0.5918,-0.8031,-2.5474,True
42,2011-05-03,2011-07-28,False,8,-0.1366,-0.3815,-1.682,True
43,2011-06-01,2011-08-26,False,8,-0.9484,-0.7101,-2.2593,True
44,2011-06-30,2011-09-26,False,8,-0.6018,-0.6113,0.2795,True
45,2011-07-29,2011-10-25,False,8,-0.5865,-0.1838,0.941,True
46,2011-08-29,2011-11-23,False,8,-0.0951,-0.2323,0.5888,True
47,2011-09-27,2011-12-22,False,8,-0.5815,-0.7837,-1.5508,True
48,2011-10-26,2012-01-20,False,8,0.0,-0.4535,-1.7903,True
49,2011-11-24,2012-02-20,False,8,-0.4348,-0.5242,-0.7954,True
50,2011-12-23,2012-03-20,False,8,-0.1406,-0.2505,-0.3098,True
51,2012-01-23,2012-04-18,False,8,-0.0469,-0.6778,-0.8435,True
52,2012-02-21,2012-05-17,False,8,-0.0545,-0.4439,-0.4102,True
53,2012-03-21,2012-06-15,False,8,-0.0422,-0.1122,0.6781,True
54,2012-04-19,2012-07-16,False,8,0.0,0.217,2.3513,True
55,2012-05-18,2012-08-14,False,8,0.0,0.3098,2.863,True
56,2012-06-18,2012-09-12,False,8,-0.1295,-0.2819,-0.7104,True
57,2012-07-17,2012-10-11,False,8,-0.4036,-0.5266,-2.089,True
58,2012-08-15,2012-11-09,False,8,-0.4054,-0.7997,-1.6331,True
59,2012-09-13,2012-12-10,False,8,-0.6133,-0.3075,0.4826,True
60,2012-10-12,2013-01-09,False,8,0.0,0.2597,0.9468,True
61,2012-11-12,2013-02-07,False,8,-0.6745,0.0585,1.5897,True
62,2012-12-11,2013-03-08,False,8,-0.414,0.0865,1.0526,True
63,2013-01-10,2013-04-08,False,8,1.0257,0.7218,0.8547,True
64,2013-02-08,2013-05-07,False,8,-0.3074,0.2461,-0.7591,True
65,2013-03-11,2013-06-05,False,8,-0.5032,-0.6964,-1.7396,True
66,2013-04-09,2013-07-04,False,8,-0.7518,-1.1058,-2.6324,True
67,2013-05-08,2013-08-02,False,8,0.0209,-0.8072,-2.1167,True
68,2013-06-06,2013-09-02,False,8,-1.0333,-0.8098,-1.5985,True
69,2013-07-05,2013-10-01,False,8,0.2556,-0.1978,0.2866,True
70,2013-08-05,2013-10-30,False,8,-0.6692,-0.3746,-0.487,True
71,2013-09-03,2013-11-28,False,8,0.2189,-0.4528,-1.1525,True
72,2013-10-02,2013-12-27,False,8,-0.7439,-1.0855,-3.0357,True
73,2013-10-31,2014-01-28,False,8,-0.2552,-0.6745,-1.6025,True
74,2013-11-29,2014-02-26,False,8,-0.1962,-0.1212,0.201,True
75,2013-12-30,2014-03-27,False,8,0.0118,0.5685,3.2918,True
