bar_ts,n_edges,edge_density,mean_abs_corr,median_abs_corr,max_abs_corr,p90_abs_corr,n_components,mean_degree,min_degree,max_degree,deg_EURUSD,deg_GBPUSD,deg_USDJPY,deg_AUDUSD,deg_USDCAD,deg_USDCHF,deg_EURGBP,deg_EURJPY
2016-01-04 21:00:00,15,0.5357142857142857,0.35788338305258766,0.35010832298055183,0.840610773026847,0.6777293038197254,1,3.75,1,5,5,5,4,2,1,5,4,4
2016-01-05 21:00:00,15,0.5357142857142857,0.3594678019519034,0.3486077267950529,0.8396183197252729,0.6705841357312458,1,3.75,1,5,5,5,4,2,1,5,4,4
2016-01-06 21:00:00,15,0.5357142857142857,0.3607189136361087,0.35285873419567537,0.8411698935167343,0.6655757457207847,1,3.75,1,5,5,5,4,2,1,5,4,4
2016-01-07 21:00:00,15,0.5357142857142857,0.3603467353524486,0.3530029022355514,0.8399536119495579,0.6640774665651223,1,3.75,1,5,5,5,4,2,1,5,4,4
2016-01-08 21:00:00,16,0.5714285714285714,0.3617878166470347,0.35182976472034855,0.8454398613681026,0.6704273100826492,1,4.0,2,6,5,6,4,2,2,5,4,4
2016-01-11 21:00:00,16,0.5714285714285714,0.3636018721039703,0.35895035654449825,0.8468801649102928,0.6709456439304665,1,4.0,2,6,5,6,4,2,2,5,4,4
2016-01-12 21:00:00,16,0.5714285714285714,0.36352420240810673,0.3564815667494184,0.8484486857572139,0.6719909701384064,1,4.0,2,6,5,6,4,2,2,5,4,4
2016-01-13 21:00:00,16,0.5714285714285714,0.3632216056083701,0.3491452568338785,0.8549619622064283,0.6693324659931295,1,4.0,2,6,5,6,4,2,2,5,4,4
2016-01-14 21:00:00,15,0.5357142857142857,0.36132174255444377,0.3520269155565078,0.8530621973912119,0.6690995917259368,1,3.75,1,5,5,5,4,2,1,5,4,4
2016-01-15 21:00:00,15,0.5357142857142857,0.36090852646987776,0.3523353470166032,0.8517958064396466,0.6669673709115181,1,3.75,1,5,5,5,4,2,1,5,4,4
2016-01-18 21:00:00,16,0.5714285714285714,0.3648897192996229,0.3396818677949387,0.8529440397858372,0.6630427271613519,1,4.0,2,6,5,6,4,2,2,5,4,4
2016-01-19 21:00:00,16,0.5714285714285714,0.3654080925295124,0.34207176222836133,0.8524348261028497,0.6611013242442513,1,4.0,2,6,5,6,4,2,2,5,4,4
2016-01-20 21:00:00,16,0.5714285714285714,0.3641944906992191,0.33729472748729017,0.8521490742678961,0.660138789328555,1,4.0,2,6,5,6,4,2,2,5,4,4
2016-01-21 21:00:00,16,0.5714285714285714,0.36407324301907706,0.33467465530365836,0.8514649984591356,0.6555091189640874,1,4.0,2,6,5,6,4,2,2,5,4,4
2016-01-22 21:00:00,16,0.5714285714285714,0.3682944372289349,0.34270320998083253,0.8518405174319864,0.6543265356525448,1,4.0,2,6,5,6,4,2,2,5,4,4
2016-01-25 21:00:00,15,0.5357142857142857,0.3699737411267477,0.3550525606255266,0.8547601108938118,0.6474822392281508,1,3.75,2,5,5,5,3,2,2,5,4,4
2016-01-26 21:00:00,15,0.5357142857142857,0.37264591071225694,0.3542868646264965,0.8587156073865819,0.6479788495545996,1,3.75,2,5,5,5,3,2,2,5,4,4
2016-01-27 21:00:00,16,0.5714285714285714,0.3745794903395507,0.3517547692694959,0.8584219897442825,0.6528749885827256,1,4.0,2,5,5,5,3,2,3,5,5,4
2016-01-28 21:00:00,16,0.5714285714285714,0.37643076710409656,0.3460274945007634,0.8621713755091875,0.6506604074582012,1,4.0,2,5,5,5,3,3,2,5,4,5
2016-01-29 21:00:00,17,0.6071428571428571,0.37969772289787057,0.35159479858486486,0.8589331951620447,0.6479673692727276,1,4.25,3,5,5,5,3,3,3,5,5,5
2016-02-01 21:00:00,18,0.6428571428571429,0.3793258957180579,0.3477726702861245,0.8613781205393342,0.643016313935941,1,4.5,3,6,5,6,4,3,3,5,5,5
2016-02-02 21:00:00,17,0.6071428571428571,0.380212480977348,0.3617693725453699,0.8634706667840839,0.6420549471758927,1,4.25,3,5,5,5,3,3,3,5,5,5
2016-02-03 21:00:00,17,0.6071428571428571,0.38124832742818227,0.3641485051953075,0.8632274669840765,0.644299086871103,1,4.25,3,5,5,5,3,3,3,5,5,5
2016-02-04 21:00:00,18,0.6428571428571429,0.3789459181143248,0.363203370332892,0.8729243143619109,0.6694602080348895,1,4.5,3,6,5,6,4,3,3,5,5,5
2016-02-05 21:00:00,17,0.6071428571428571,0.3785843184766789,0.3580590940621059,0.872994181189316,0.672966516034405,1,4.25,2,6,5,6,4,3,2,5,4,5
2016-02-08 21:00:00,18,0.6428571428571429,0.3783066740728692,0.35222259899400254,0.8687458333240761,0.6843396253134004,1,4.5,3,6,5,6,4,3,3,5,5,5
2016-02-09 21:00:00,17,0.6071428571428571,0.37647275553824083,0.3398183403362703,0.86466268361728,0.6784454891701072,1,4.25,2,6,5,6,4,3,2,5,4,5
2016-02-10 21:00:00,16,0.5714285714285714,0.3778426229960731,0.3793005283767016,0.8553072408584297,0.6563466350482472,1,4.0,2,6,5,6,4,2,2,5,4,4
2016-02-11 21:00:00,17,0.6071428571428571,0.3718748012741379,0.36214155974372464,0.8531014101077647,0.6402059566252449,1,4.25,2,7,5,7,4,2,2,5,5,4
2016-02-12 21:00:00,15,0.5357142857142857,0.3696916353578313,0.35930725327628754,0.8439751832902315,0.6313816336128313,1,3.75,2,5,5,5,3,2,2,5,5,3
2016-02-15 21:00:00,16,0.5714285714285714,0.3708616694478148,0.35831978048595414,0.8459252470301124,0.6306087401680848,1,4.0,2,6,5,6,3,2,2,5,5,4
2016-02-16 21:00:00,15,0.5357142857142857,0.37147050374287793,0.35575867534491146,0.8571323700132283,0.6342952721379129,1,3.75,2,5,5,5,3,2,2,5,5,3
