fold_id,test_start_ts,test_end_ts,in_2022,n_bars,mean_edge_density,median_edge_density,p5_edge_density,p95_edge_density,mean_mean_abs_corr,mean_degree,mean_n_components
67,2013-05-08,2013-08-02,False,63,0.6139,0.6071,0.5714,0.6429,0.3664,4.2976,1.0
68,2013-06-06,2013-09-02,False,63,0.6173,0.6071,0.5714,0.6429,0.3685,4.3214,1.0
69,2013-07-05,2013-10-01,False,63,0.6122,0.6071,0.5714,0.6429,0.3743,4.2857,1.0
70,2013-08-05,2013-10-30,False,63,0.6094,0.6071,0.5714,0.6429,0.3886,4.2659,1.0
71,2013-09-03,2013-11-28,False,63,0.5947,0.6071,0.5714,0.6429,0.3922,4.1627,1.0
72,2013-10-02,2013-12-27,False,63,0.5941,0.6071,0.5714,0.6429,0.3844,4.1587,1.0
73,2013-10-31,2014-01-28,False,63,0.5737,0.5714,0.5,0.6071,0.357,4.0159,1.0
74,2013-11-29,2014-02-26,False,63,0.5283,0.5357,0.3929,0.6071,0.3337,3.6984,1.0317
75,2013-12-30,2014-03-27,False,63,0.4529,0.4643,0.3571,0.6036,0.313,3.1706,1.3651
76,2014-01-29,2014-04-25,False,63,0.3929,0.3571,0.3571,0.5,0.3031,2.75,1.5079
77,2014-02-27,2014-05-26,False,63,0.3741,0.3571,0.3571,0.3929,0.2978,2.619,1.5873
78,2014-03-28,2014-06-24,False,63,0.373,0.3571,0.3571,0.3929,0.2958,2.6111,1.5873
79,2014-04-28,2014-07-23,False,63,0.3827,0.3929,0.3214,0.4643,0.293,2.6786,1.5556
80,2014-05-27,2014-08-21,False,63,0.4427,0.3929,0.3214,0.6071,0.304,3.0992,1.4444
81,2014-06-25,2014-09-19,False,63,0.5368,0.5714,0.3214,0.6786,0.3265,3.7579,1.1111
82,2014-07-24,2014-10-20,False,63,0.6327,0.6071,0.5036,0.75,0.3571,4.4286,1.0
83,2014-08-22,2014-11-18,False,63,0.6944,0.75,0.6071,0.7821,0.3852,4.8611,1.0
84,2014-09-22,2014-12-17,False,63,0.7234,0.75,0.6071,0.7857,0.401,5.0635,1.0
85,2014-10-21,2015-01-16,False,63,0.7217,0.75,0.6429,0.75,0.4056,5.0516,1.0
86,2014-11-19,2015-02-16,False,63,0.627,0.6786,0.4286,0.75,0.3674,4.3889,1.1111
87,2014-12-18,2015-03-17,False,63,0.5476,0.5,0.4286,0.7464,0.3366,3.8333,1.1746
88,2015-01-19,2015-04-15,False,63,0.5113,0.5,0.4286,0.6071,0.3224,3.5794,1.1746
89,2015-02-17,2015-05-14,False,63,0.559,0.5714,0.4679,0.6429,0.3426,3.9127,1.0635
90,2015-03-18,2015-06-12,False,63,0.5992,0.6071,0.5357,0.6429,0.3653,4.1944,1.0
91,2015-04-16,2015-07-13,False,63,0.6434,0.6429,0.5714,0.8214,0.3867,4.504,1.0
92,2015-05-15,2015-08-11,False,63,0.716,0.6429,0.6071,0.8571,0.4328,5.0119,1.0
93,2015-06-15,2015-09-09,False,63,0.7704,0.8214,0.6429,0.8571,0.4575,5.3929,1.0
94,2015-07-14,2015-10-08,False,63,0.7166,0.7857,0.5357,0.8571,0.4426,5.0159,1.0
95,2015-08-12,2015-11-06,False,63,0.619,0.5357,0.5357,0.8571,0.4003,4.3333,1.0
96,2015-09-10,2015-12-07,False,63,0.538,0.5357,0.5357,0.5714,0.3683,3.7659,1.0
97,2015-10-09,2016-01-06,False,63,0.5323,0.5357,0.5,0.5357,0.3643,3.7262,1.0
98,2015-11-09,2016-02-04,False,63,0.5448,0.5357,0.5,0.6071,0.3638,3.8135,1.0
99,2015-12-08,2016-03-04,False,63,0.5595,0.5714,0.5,0.6071,0.3677,3.9167,1.0
100,2016-01-07,2016-04-04,False,63,0.5794,0.5714,0.5357,0.6071,0.3702,4.0556,1.0
101,2016-02-05,2016-05-03,False,63,0.5833,0.5714,0.5357,0.6071,0.3705,4.0833,1.0
102,2016-03-07,2016-06-01,False,63,0.5624,0.5714,0.4643,0.6071,0.3637,3.9365,1.0
103,2016-04-05,2016-06-30,False,63,0.5437,0.5357,0.4643,0.6714,0.3598,3.8056,1.0
104,2016-05-04,2016-07-29,False,63,0.593,0.5357,0.4643,0.75,0.377,4.1508,1.0
105,2016-06-02,2016-08-29,False,63,0.6621,0.7143,0.4643,0.75,0.4017,4.6349,1.0
106,2016-07-01,2016-09-27,False,63,0.7217,0.7143,0.6786,0.75,0.4251,5.0516,1.0
107,2016-08-01,2016-10-26,False,63,0.7041,0.7143,0.6786,0.75,0.4283,4.9286,1.0
108,2016-08-30,2016-11-24,False,63,0.6899,0.6786,0.6464,0.75,0.4324,4.8294,1.0
109,2016-09-28,2016-12-23,False,63,0.6633,0.6786,0.5357,0.7143,0.4194,4.6429,1.0
110,2016-10-27,2017-01-23,False,63,0.6304,0.6429,0.5357,0.7143,0.397,4.4127,1.0
111,2016-11-25,2017-02-21,False,63,0.6054,0.6071,0.5357,0.7143,0.3757,4.2381,1.0
112,2016-12-26,2017-03-22,False,63,0.5901,0.6071,0.5357,0.6071,0.3632,4.131,1.0
113,2017-01-24,2017-04-20,False,63,0.5952,0.6071,0.5393,0.6071,0.3633,4.1667,1.0
114,2017-02-22,2017-05-19,False,63,0.5998,0.6071,0.5393,0.675,0.3611,4.1984,1.0
115,2017-03-23,2017-06-19,False,63,0.6117,0.6071,0.5714,0.6786,0.3616,4.2817,1.0
116,2017-04-21,2017-07-18,False,63,0.5867,0.6071,0.4286,0.6786,0.3493,4.1071,1.0
117,2017-05-22,2017-08-16,False,63,0.5516,0.5714,0.4286,0.6714,0.3351,3.8611,1.0
118,2017-06-20,2017-09-14,False,63,0.5255,0.5357,0.4286,0.6071,0.3228,3.6786,1.0
119,2017-07-19,2017-10-13,False,63,0.5176,0.5357,0.4286,0.5714,0.3196,3.623,1.0
120,2017-08-17,2017-11-13,False,63,0.53,0.5357,0.4321,0.5714,0.3217,3.7103,1.0
121,2017-09-15,2017-12-12,False,63,0.5323,0.5357,0.4321,0.5714,0.3251,3.7262,1.0
122,2017-10-16,2018-01-11,False,63,0.5527,0.5714,0.5,0.5714,0.3314,3.869,1.0
123,2017-11-14,2018-02-09,False,63,0.5567,0.5714,0.5,0.6036,0.3368,3.8968,1.0
124,2017-12-13,2018-03-12,False,63,0.5845,0.5714,0.5357,0.6429,0.3462,4.0913,1.0
125,2018-01-12,2018-04-10,False,63,0.6088,0.6071,0.5357,0.6429,0.3594,4.2619,1.0
126,2018-02-12,2018-05-09,False,63,0.6151,0.6071,0.5714,0.6429,0.3714,4.3056,1.0
127,2018-03-13,2018-06-07,False,63,0.6168,0.6071,0.5714,0.6429,0.3825,4.3175,1.0
128,2018-04-11,2018-07-06,False,63,0.6253,0.6429,0.5714,0.6786,0.3913,4.377,1.0
129,2018-05-10,2018-08-06,False,63,0.6468,0.6429,0.6071,0.6786,0.4024,4.5278,1.0
130,2018-06-08,2018-09-04,False,63,0.6621,0.6429,0.6429,0.7143,0.4107,4.6349,1.0
131,2018-07-09,2018-10-03,False,63,0.6729,0.6786,0.6429,0.7143,0.4136,4.7103,1.0
132,2018-08-07,2018-11-01,False,63,0.6808,0.6786,0.6429,0.7143,0.4072,4.7659,1.0
133,2018-09-05,2018-11-30,False,63,0.6689,0.6786,0.575,0.7143,0.3998,4.6825,1.0
134,2018-10-04,2018-12-31,False,63,0.6536,0.6786,0.575,0.7107,0.3861,4.5754,1.0
135,2018-11-02,2019-01-30,False,63,0.6196,0.6071,0.5714,0.6786,0.3698,4.3373,1.0
136,2018-12-03,2019-02-28,False,63,0.5958,0.5714,0.5714,0.6786,0.3533,4.1706,1.0
137,2019-01-02,2019-03-29,False,63,0.5686,0.5714,0.5357,0.5714,0.3438,3.9802,1.0
138,2019-01-31,2019-04-29,False,63,0.5624,0.5714,0.5,0.6071,0.3419,3.9365,1.0
139,2019-03-01,2019-05-28,False,63,0.5482,0.5357,0.5,0.6071,0.3376,3.8373,1.0
140,2019-04-01,2019-06-26,False,63,0.5454,0.5357,0.5,0.6071,0.338,3.8175,1.0
141,2019-04-30,2019-07-25,False,63,0.5635,0.5357,0.5,0.6071,0.3447,3.9444,1.0
142,2019-05-29,2019-08-23,False,63,0.5782,0.5714,0.5,0.6393,0.3512,4.0476,1.0
143,2019-06-27,2019-09-23,False,63,0.585,0.5714,0.5036,0.6429,0.3498,4.0952,1.0
144,2019-07-26,2019-10-22,False,63,0.5629,0.5714,0.5,0.6071,0.3408,3.9405,1.0
145,2019-08-26,2019-11-20,False,63,0.5709,0.5714,0.5357,0.6071,0.3354,3.996,1.0
146,2019-09-24,2019-12-19,False,63,0.538,0.5714,0.3964,0.6071,0.327,3.7659,1.0
147,2019-10-23,2020-01-20,False,63,0.4966,0.4643,0.3929,0.6071,0.3151,3.4762,1.0
148,2019-11-21,2020-02-18,False,63,0.441,0.4286,0.3929,0.5714,0.3054,3.0873,1.0
149,2019-12-20,2020-03-18,False,63,0.4263,0.4286,0.3929,0.4643,0.3028,2.9841,1.0
150,2020-01-21,2020-04-16,False,63,0.4813,0.4643,0.3929,0.6071,0.3314,3.369,1.0
151,2020-02-19,2020-05-15,False,63,0.5283,0.5714,0.3929,0.6071,0.3589,3.6984,1.0
152,2020-03-19,2020-06-15,False,63,0.5743,0.5714,0.5714,0.6071,0.3862,4.0198,1.0
153,2020-04-17,2020-07-14,False,63,0.5731,0.5714,0.5714,0.5714,0.3891,4.0119,1.0
