fold_id,asset,test_start_ts,test_end_ts,in_2022,n_test,sharpe_test
20,EURJPY,2009-07-22,2009-10-16,False,63,-0.2784
21,EURUSD,2009-08-20,2009-11-16,False,63,-2.5131
21,GBPUSD,2009-08-20,2009-11-16,False,63,0.8948
21,USDJPY,2009-08-20,2009-11-16,False,63,-1.2256
21,AUDUSD,2009-08-20,2009-11-16,False,63,-3.53
21,USDCAD,2009-08-20,2009-11-16,False,63,-0.7567
21,USDCHF,2009-08-20,2009-11-16,False,63,-1.9254
21,EURGBP,2009-08-20,2009-11-16,False,63,-1.274
21,EURJPY,2009-08-20,2009-11-16,False,63,0.1363
22,EURUSD,2009-09-18,2009-12-15,False,63,-0.0345
22,GBPUSD,2009-09-18,2009-12-15,False,63,1.0167
22,USDJPY,2009-09-18,2009-12-15,False,63,1.9779
22,AUDUSD,2009-09-18,2009-12-15,False,63,-2.7789
22,USDCAD,2009-09-18,2009-12-15,False,63,0.6753
22,USDCHF,2009-09-18,2009-12-15,False,63,-0.1782
22,EURGBP,2009-09-18,2009-12-15,False,63,-0.2274
22,EURJPY,2009-09-18,2009-12-15,False,63,1.5244
23,EURUSD,2009-10-19,2010-01-15,False,63,-1.7097
23,GBPUSD,2009-10-19,2010-01-15,False,63,-0.354
23,USDJPY,2009-10-19,2010-01-15,False,63,1.4393
23,AUDUSD,2009-10-19,2010-01-15,False,63,-0.6552
23,USDCAD,2009-10-19,2010-01-15,False,63,0.412
23,USDCHF,2009-10-19,2010-01-15,False,63,0.1846
23,EURGBP,2009-10-19,2010-01-15,False,63,-1.5596
23,EURJPY,2009-10-19,2010-01-15,False,63,0.931
24,EURUSD,2009-11-17,2010-02-15,False,63,-0.0051
24,GBPUSD,2009-11-17,2010-02-15,False,63,0.2241
24,USDJPY,2009-11-17,2010-02-15,False,63,1.0733
24,AUDUSD,2009-11-17,2010-02-15,False,63,0.4481
24,USDCAD,2009-11-17,2010-02-15,False,63,0.2382
24,USDCHF,2009-11-17,2010-02-15,False,63,2.2372
24,EURGBP,2009-11-17,2010-02-15,False,63,-1.3332
24,EURJPY,2009-11-17,2010-02-15,False,63,1.2559
25,EURUSD,2009-12-16,2010-03-16,False,63,-0.5732
25,GBPUSD,2009-12-16,2010-03-16,False,63,0.6824
25,USDJPY,2009-12-16,2010-03-16,False,63,0.2741
25,AUDUSD,2009-12-16,2010-03-16,False,63,0.816
25,USDCAD,2009-12-16,2010-03-16,False,63,-0.8431
25,USDCHF,2009-12-16,2010-03-16,False,63,1.2424
25,EURGBP,2009-12-16,2010-03-16,False,63,-4.5713
25,EURJPY,2009-12-16,2010-03-16,False,63,-0.4713
26,EURUSD,2010-01-18,2010-04-14,False,63,1.1011
26,GBPUSD,2010-01-18,2010-04-14,False,63,1.1581
26,USDJPY,2010-01-18,2010-04-14,False,63,1.4634
26,AUDUSD,2010-01-18,2010-04-14,False,63,-0.849
26,USDCAD,2010-01-18,2010-04-14,False,63,1.8627
26,USDCHF,2010-01-18,2010-04-14,False,63,0.8474
26,EURGBP,2010-01-18,2010-04-14,False,63,-4.1363
26,EURJPY,2010-01-18,2010-04-14,False,63,0.7226
27,EURUSD,2010-02-16,2010-05-13,False,63,0.9928
27,GBPUSD,2010-02-16,2010-05-13,False,63,0.8591
27,USDJPY,2010-02-16,2010-05-13,False,63,1.3213
27,AUDUSD,2010-02-16,2010-05-13,False,63,-1.8202
27,USDCAD,2010-02-16,2010-05-13,False,63,1.8627
27,USDCHF,2010-02-16,2010-05-13,False,63,-2.168
27,EURGBP,2010-02-16,2010-05-13,False,63,-0.9452
27,EURJPY,2010-02-16,2010-05-13,False,63,-1.7762
28,EURUSD,2010-03-17,2010-06-11,False,63,-0.1373
28,GBPUSD,2010-03-17,2010-06-11,False,63,1.2771
28,USDJPY,2010-03-17,2010-06-11,False,63,1.6135
28,AUDUSD,2010-03-17,2010-06-11,False,63,-2.1212
28,USDCAD,2010-03-17,2010-06-11,False,63,1.8627
28,USDCHF,2010-03-17,2010-06-11,False,63,-2.3607
28,EURGBP,2010-03-17,2010-06-11,False,63,2.1125
28,EURJPY,2010-03-17,2010-06-11,False,63,-2.3012
29,EURUSD,2010-04-15,2010-07-12,False,63,0.3367
29,GBPUSD,2010-04-15,2010-07-12,False,63,0.0
29,USDJPY,2010-04-15,2010-07-12,False,63,1.4905
29,AUDUSD,2010-04-15,2010-07-12,False,63,-2.2957
29,USDCAD,2010-04-15,2010-07-12,False,63,0.0
29,USDCHF,2010-04-15,2010-07-12,False,63,-4.5841
29,EURGBP,2010-04-15,2010-07-12,False,63,3.0861
29,EURJPY,2010-04-15,2010-07-12,False,63,-2.0907
30,EURUSD,2010-05-14,2010-08-10,False,63,1.161
30,GBPUSD,2010-05-14,2010-08-10,False,63,0.0
30,USDJPY,2010-05-14,2010-08-10,False,63,2.3286
30,AUDUSD,2010-05-14,2010-08-10,False,63,-1.3703
30,USDCAD,2010-05-14,2010-08-10,False,63,-0.1204
30,USDCHF,2010-05-14,2010-08-10,False,63,-3.1732
30,EURGBP,2010-05-14,2010-08-10,False,63,3.052
30,EURJPY,2010-05-14,2010-08-10,False,63,-0.6187
31,EURUSD,2010-06-14,2010-09-08,False,63,2.3719
31,GBPUSD,2010-06-14,2010-09-08,False,63,-1.8793
31,USDJPY,2010-06-14,2010-09-08,False,63,3.3561
31,AUDUSD,2010-06-14,2010-09-08,False,63,-1.201
31,USDCAD,2010-06-14,2010-09-08,False,63,-0.7746
31,USDCHF,2010-06-14,2010-09-08,False,63,-4.5215
31,EURGBP,2010-06-14,2010-09-08,False,63,3.4918
31,EURJPY,2010-06-14,2010-09-08,False,63,1.5898
32,EURUSD,2010-07-13,2010-10-07,False,63,-1.2633
32,GBPUSD,2010-07-13,2010-10-07,False,63,-1.8793
32,USDJPY,2010-07-13,2010-10-07,False,63,2.6875
32,AUDUSD,2010-07-13,2010-10-07,False,63,-4.0449
32,USDCAD,2010-07-13,2010-10-07,False,63,-1.0758
32,USDCHF,2010-07-13,2010-10-07,False,63,-3.8634
32,EURGBP,2010-07-13,2010-10-07,False,63,3.1845
32,EURJPY,2010-07-13,2010-10-07,False,63,-0.4513
33,EURUSD,2010-08-11,2010-11-05,False,63,-2.8687
33,GBPUSD,2010-08-11,2010-11-05,False,63,-1.8793
33,USDJPY,2010-08-11,2010-11-05,False,63,1.6058
33,AUDUSD,2010-08-11,2010-11-05,False,63,-4.7746
33,USDCAD,2010-08-11,2010-11-05,False,63,-1.1405
33,USDCHF,2010-08-11,2010-11-05,False,63,-2.826
33,EURGBP,2010-08-11,2010-11-05,False,63,2.4253
33,EURJPY,2010-08-11,2010-11-05,False,63,-0.1742
34,EURUSD,2010-09-09,2010-12-06,False,63,0.4138
34,GBPUSD,2010-09-09,2010-12-06,False,63,0.9694
34,USDJPY,2010-09-09,2010-12-06,False,63,2.2845
34,AUDUSD,2010-09-09,2010-12-06,False,63,-4.2499
34,USDCAD,2010-09-09,2010-12-06,False,63,-0.0939
34,USDCHF,2010-09-09,2010-12-06,False,63,-2.0682
34,EURGBP,2010-09-09,2010-12-06,False,63,3.1558
34,EURJPY,2010-09-09,2010-12-06,False,63,-2.8179
35,EURUSD,2010-10-08,2011-01-04,False,63,2.1505
35,GBPUSD,2010-10-08,2011-01-04,False,63,1.7564
35,USDJPY,2010-10-08,2011-01-04,False,63,0.8366
35,AUDUSD,2010-10-08,2011-01-04,False,63,-1.9906
35,USDCAD,2010-10-08,2011-01-04,False,63,-0.3814
35,USDCHF,2010-10-08,2011-01-04,False,63,0.5121
35,EURGBP,2010-10-08,2011-01-04,False,63,0.0002
35,EURJPY,2010-10-08,2011-01-04,False,63,-0.6186
36,EURUSD,2010-11-08,2011-02-02,False,63,0.1364
36,GBPUSD,2010-11-08,2011-02-02,False,63,3.1909
36,USDJPY,2010-11-08,2011-02-02,False,63,1.3832
36,AUDUSD,2010-11-08,2011-02-02,False,63,-1.7534
36,USDCAD,2010-11-08,2011-02-02,False,63,0.0884
36,USDCHF,2010-11-08,2011-02-02,False,63,1.6176
36,EURGBP,2010-11-08,2011-02-02,False,63,0.2085
36,EURJPY,2010-11-08,2011-02-02,False,63,1.2196
37,EURUSD,2010-12-07,2011-03-03,False,63,-4.7557
37,GBPUSD,2010-12-07,2011-03-03,False,63,2.8632
37,USDJPY,2010-12-07,2011-03-03,False,63,-1.4927
