fold_id,test_start_ts,test_end_ts,in_2022,n_valid_assets,fold_median_sharpe,fold_mean_sharpe,fold_portfolio_sharpe,is_valid
49,2011-11-24,2012-02-20,False,8,-0.3537,-0.4807,-0.7186,True
50,2011-12-23,2012-03-20,False,8,-0.1291,-0.2054,-0.205,True
51,2012-01-23,2012-04-18,False,8,0.0173,-0.5981,-0.6586,True
52,2012-02-21,2012-05-17,False,8,-0.0386,-0.4011,-0.28,True
53,2012-03-21,2012-06-15,False,8,-0.0171,-0.046,0.792,True
54,2012-04-19,2012-07-16,False,8,0.0,0.217,2.3513,True
55,2012-05-18,2012-08-14,False,8,0.0,0.3098,2.863,True
56,2012-06-18,2012-09-12,False,8,-0.1295,-0.2783,-0.7002,True
57,2012-07-17,2012-10-11,False,8,-0.3855,-0.5092,-2.0294,True
58,2012-08-15,2012-11-09,False,8,-0.3974,-0.7812,-1.5832,True
59,2012-09-13,2012-12-10,False,8,-0.3333,-0.0424,0.5143,True
60,2012-10-12,2013-01-09,False,8,0.0,0.2667,0.9663,True
61,2012-11-12,2013-02-07,False,8,-0.6395,0.0902,1.6418,True
62,2012-12-11,2013-03-08,False,8,-0.3653,0.1251,1.1311,True
63,2013-01-10,2013-04-08,False,8,1.064,0.7895,0.9994,True
64,2013-02-08,2013-05-07,False,8,-0.248,0.3119,-0.5688,True
65,2013-03-11,2013-06-05,False,8,-0.4388,-0.6216,-1.5965,True
66,2013-04-09,2013-07-04,False,8,-0.7236,-1.0721,-2.5617,True
67,2013-05-08,2013-08-02,False,8,0.0267,-0.785,-2.0684,True
68,2013-06-06,2013-09-02,False,8,-1.0205,-0.789,-1.5426,True
69,2013-07-05,2013-10-01,False,8,0.2612,-0.1719,0.362,True
70,2013-08-05,2013-10-30,False,8,-0.6017,-0.313,-0.3304,True
71,2013-09-03,2013-11-28,False,8,0.2886,-0.3797,-0.9624,True
72,2013-10-02,2013-12-27,False,8,-0.5846,-0.9495,-2.7272,True
73,2013-10-31,2014-01-28,False,8,-0.1189,-0.5689,-1.3499,True
74,2013-11-29,2014-02-26,False,8,-0.0217,0.0124,0.5155,True
75,2013-12-30,2014-03-27,False,8,0.1068,0.6288,3.507,True
76,2014-01-29,2014-04-25,False,8,-0.4308,0.1527,1.8091,True
77,2014-02-27,2014-05-26,False,8,0.9162,1.0109,2.3741,True
78,2014-03-28,2014-06-24,False,8,0.4213,0.3268,0.3016,True
79,2014-04-28,2014-07-23,False,8,-0.0299,0.3951,0.7372,True
80,2014-05-27,2014-08-21,False,8,1.1264,0.4091,1.1923,True
81,2014-06-25,2014-09-19,False,8,-0.721,-0.6302,-1.6685,True
82,2014-07-24,2014-10-20,False,8,-1.4758,-0.9903,-1.8016,True
83,2014-08-22,2014-11-18,False,8,-1.2695,-0.941,-1.3792,True
84,2014-09-22,2014-12-17,False,8,-1.0169,-0.4525,-0.0181,True
85,2014-10-21,2015-01-16,False,8,-1.0436,-0.6877,-2.2522,True
86,2014-11-19,2015-02-16,False,8,-1.0161,-0.5145,-1.1516,True
87,2014-12-18,2015-03-17,False,8,0.582,0.0094,0.5236,True
88,2015-01-19,2015-04-15,False,8,0.9944,0.7716,2.6259,True
89,2015-02-17,2015-05-14,False,8,-1.8004,-0.7279,-0.739,True
90,2015-03-18,2015-06-12,False,8,-1.0277,-0.9067,-2.4843,True
91,2015-04-16,2015-07-13,False,8,-0.7154,-0.9088,-2.4442,True
92,2015-05-15,2015-08-11,False,8,0.0125,-0.1266,-0.4888,True
93,2015-06-15,2015-09-09,False,8,0.6395,-0.1631,-0.4183,True
94,2015-07-14,2015-10-08,False,8,0.8436,0.1564,0.2032,True
95,2015-08-12,2015-11-06,False,8,0.7142,0.7692,1.6217,True
96,2015-09-10,2015-12-07,False,8,0.5719,0.8945,1.6458,True
97,2015-10-09,2016-01-06,False,8,1.2509,1.8012,3.0415,True
98,2015-11-09,2016-02-04,False,8,0.6099,1.3822,4.2723,True
99,2015-12-08,2016-03-04,False,8,0.6476,1.1092,4.1681,True
100,2016-01-07,2016-04-04,False,8,1.3593,0.5737,2.1904,True
101,2016-02-05,2016-05-03,False,8,0.2288,0.4286,1.5053,True
102,2016-03-07,2016-06-01,False,8,0.8286,0.706,1.8193,True
103,2016-04-05,2016-06-30,False,8,0.2724,0.0215,-0.4362,True
