country,mean_abs_corr_levels_normal,mean_abs_corr_levels_lehman,delta_mean_abs_corr_levels,mean_abs_corr_changes_normal,mean_abs_corr_changes_lehman,delta_mean_abs_corr_changes,mean_abs_corr_changes_sensitivity,delta_mean_abs_corr_changes_sensitivity,weighted_out_strength_lehman,weighted_in_strength_lehman,total_strength_lehman,binary_degree_lehman,effective_change_observations,passes_strength_filter,passes_observation_filter,suspect_short_sample,suspect_low_mass,article_grade,risk_concentration_rank,log_total_strength_lehman,short_sample_penalty,low_mass_penalty,article_risk_score,article_rank
ES,,,,,,,,,0.0,1040336.0,1040336.0,8,11,True,True,False,False,True,29,13.85505525708997,0.0,0.0,1.152945739527798,11
IT,,,,,,,,,0.0,1113038.0,1113038.0,7,11,True,True,False,False,True,28,13.922604670075048,0.0,0.0,0.9960783368279532,12
GG,0.8687447211509807,0.7818009457768568,-0.0869437753741239,0.3956280243007659,0.7445112742201426,0.34888324991937675,0.5770334731575409,0.18140544885677506,222195.5,157013.25,379208.75,2,11,True,True,False,False,True,4,12.845844761057771,0.0,0.0,0.21331091478910158,13
JE,0.8376947039702783,0.8066355183880343,-0.031059185582244075,0.2893251237335612,0.7727049869140824,0.48337986318052123,0.42379503007805164,0.13446990634449046,369441.5,330427.0,699868.5,2,11,True,True,False,False,True,11,13.458649168074146,0.0,0.0,0.18854864829456974,14
SE,0.8688689364202712,0.5892471133553305,-0.27962182306494066,0.38440940007952484,0.527968245604916,0.1435588455253911,0.4950209892677061,0.11061158918818126,236754.25,253953.75,490708.0,3,11,True,True,False,False,True,15,13.1036065630551,0.0,0.0,-0.0207012301805653,15
DK,0.8793548519187355,0.6885137585573756,-0.1908410933613599,0.3687354322235207,0.4860095044921223,0.11727407226860165,0.4675664959331558,0.09883106370963513,167402.75,261449.25,428852.0,3,11,True,True,False,False,True,17,12.968869481847054,0.0,0.0,-0.19721863319660446,16
TW,0.8636480080362179,0.7643089378490159,-0.099339070187202,0.3388601435798797,0.7847691035590668,0.4459089599791871,0.4898841557097671,0.15102401212988742,125399.25,26480.0,151879.25,1,11,True,True,False,False,True,7,11.930847660380728,0.0,0.0,-0.773606378118989,17
KR,0.706771395847542,0.7057308797016417,-0.0010405161459002832,0.330085386028824,0.6000371629492014,0.2699517769203774,0.4746459581732883,0.14456057214446433,59430.5,101129.25,160559.75,0,11,True,True,False,False,True,8,11.986427654610281,0.0,0.0,-0.9907548372577673,18
HK,,,,,,,,,0.0,234003.0,234003.0,1,11,True,True,False,False,True,30,12.363093488210831,0.0,0.0,-1.1047672444984853,19
CA,0.7358478894767211,0.8019514177885277,0.06610352831180666,0.29150079936499895,0.7821079808919318,0.49060718152693283,0.28220580275807416,-0.009294996606924788,255838.25,323213.5,579051.75,2,11,True,True,False,False,True,21,13.269148857759351,0.0,0.0,-1.1069816924076092,20
BR,0.8313458176972713,0.7946810042743744,-0.03666481342289696,0.3874794586884112,0.7879188903702802,0.40043943168186896,0.5256543023633664,0.1381748436749552,39068.5,87036.75,126105.25,0,11,True,True,False,False,True,9,11.744880084562988,0.0,0.0,-1.185894447267385,21
IM,0.8329710834572022,0.7623380385587066,-0.07063304489849553,0.30825699922760885,0.7890344002662748,0.48077740103866595,0.42760011655171926,0.1193431173241104,81290.25,35114.5,116404.75,1,11,True,True,False,False,True,13,11.664837211684832,0.0,0.0,-1.1914514899107571,22
AT,0.7362641045023405,0.8036054926645503,0.0673413881622098,0.2915275936773744,0.7319718038753542,0.4404442101979798,0.29045237578804917,-0.0010752178893252418,249526.0,213862.75,463388.75,1,11,True,True,False,False,True,20,13.04632377161623,0.0,0.0,-1.3675524288826626,23
FI,0.7234547870491035,0.653075752671014,-0.07037903437808946,0.30042850585347386,0.7020342295979027,0.4016057237444289,0.3246512970758228,0.02422279122234894,71343.0,136485.0,207828.0,1,11,True,True,False,False,True,19,12.244470905176657,0.0,0.0,-1.6325199878424526,24
AU,0.8482124380990175,0.2876001873782137,-0.5606122507208038,0.34085940070445025,0.691401953507953,0.3505425528035027,0.21881611636297807,-0.12204328434147219,196290.75,238463.0,434753.75,3,11,True,True,False,False,True,25,12.98253735797628,0.0,0.0,-2.0077173394693713,25
GR,0.8540041690760526,0.525891879248967,-0.3281122898270856,0.4015814579314154,0.534148370569795,0.1325669126383796,0.28760852623134214,-0.11397293170007328,110865.25,181196.75,292062.0,1,11,True,True,False,False,True,24,12.584724811403653,0.0,0.0,-2.5695324809671245,26
