ts,ricci_div_z,fwd_return_1h,fiedler_lambda2
2017-03-08 15:00:00,-0.9499006071736456,0.0001263636748239253,0.0
2017-03-08 16:00:00,-0.9499006071736456,-0.0016017875998393684,0.0
2017-03-08 17:00:00,-0.9499006071736456,0.0006747496302391532,0.0
2017-03-08 18:00:00,-0.9499006071736456,0.0004636264097208352,0.0
2017-03-08 19:00:00,-0.9499006071736456,-0.0011383760399600866,0.0
2017-03-08 20:00:00,-0.9499006071736456,-0.0017733869996898767,0.0
2017-03-08 21:00:00,-0.9499006071736456,-0.00012256429886368808,0.0
2017-03-08 22:00:00,-0.9499006071736456,0.0012207460738211501,0.0
2017-03-09 15:00:00,-0.9499006071736456,0.00010553087315479992,0.0
2017-03-09 16:00:00,-0.9499006071736456,-6.331718747178014e-05,0.0
2017-03-09 17:00:00,-0.9499006071736456,-8.44291534367024e-05,0.0
2017-03-09 18:00:00,-0.9499006071736456,-0.0017323703998725214,0.0
2017-03-09 19:00:00,-0.9499006071736456,-0.0006133866537486761,0.0
2017-03-09 20:00:00,-0.9499006071736456,0.002134652978528409,0.0
2017-03-09 21:00:00,-0.9499006071736456,-6.333810832286773e-06,0.0
2017-03-09 22:00:00,-0.9499006071736456,0.004724416577762382,0.0
2017-03-10 15:00:00,-0.9499006071736456,-0.003070543840063575,0.0
2017-03-10 16:00:00,-0.9499006071736456,0.0004193618806722737,0.0
2017-03-10 17:00:00,-0.9499006071736456,-0.0012227517651140312,0.0
2017-03-10 18:00:00,-0.9499006071736456,0.0003374601934457512,0.0
2017-03-10 19:00:00,-0.9499006071736456,0.0007167250190873977,0.0
2017-03-10 20:00:00,-0.9499006071736456,0.0014466403937112814,0.0
2017-03-10 21:00:00,-0.9499006071736456,0.0001556996598794397,0.0
2017-03-10 22:00:00,-0.9499006071736456,-0.0005913666950898381,0.0
2017-03-13 15:00:00,-0.9499006071736456,0.00046302143353639416,0.0
2017-03-13 16:00:00,-0.9499006071736456,-0.0004209197157800625,0.0
2017-03-13 17:00:00,-0.9499006071736456,-0.00021052631656708979,0.0
2017-03-13 18:00:00,-0.9499006071736456,0.000757687406020955,0.0
2017-03-13 19:00:00,-0.9499006071736456,0.0003786285278720258,0.0
2017-03-13 20:00:00,-0.9499006071736456,8.832603247299986e-05,0.0
2017-03-13 21:00:00,-0.9499006071736456,-8.622294103375388e-05,0.0
2017-03-13 22:00:00,-0.9499006071736456,-0.004766426126547842,0.0
2017-03-14 15:00:00,-0.9499006071736456,0.0014359020141396803,0.0
2017-03-14 16:00:00,-0.9499006071736456,-0.001774061163510283,0.0
2017-03-14 17:00:00,-0.9499006071736456,0.0007184515565566182,0.0
2017-03-14 18:00:00,-0.9499006071736456,0.00016897243677350214,0.0
2017-03-14 19:00:00,-0.9499006071736456,0.0006756043749007162,0.0
2017-03-14 20:00:00,-0.9499006071736456,0.0001266250212734656,0.0
2017-03-14 21:00:00,-0.9499006071736456,0.002613333696634894,0.0
2017-03-15 14:00:00,-0.9499006071736456,8.418748557997721e-05,0.0
2017-03-15 15:00:00,-0.9499006071736456,0.0007174107041995563,0.0
2017-03-15 16:00:00,-0.9499006071736456,0.0013849762785312222,0.0
